data;godzina_odjazdu_rozkład;godzina_realna_odjazdu;linia_autobusu;przystanek;opóźnieninie_minuty;kierunek
30.06.2025;08:44;08:52;138;park_wodny;8;kombinat
30.06.2025;08:59;09:10;129;park_wodny;11;dworzec
30.06.2025;11:03;11:04;138;park_wodny;1;kombinat
30.06.2025;14:23;14:45;138;park_wodny;22;kombinat
30.06.2025;10:19;10:22;129;park_wodny;3;dworzec
30.06.2025;14:19;14:34;129;park_wodny;15;dworzec
30.06.2025;18:19;18:23;129;park_wodny;4;dworzec
30.06.2025;18:24;18:27;138;park_wodny;3;kombinat
1.07.2025;08:44;08:58;138;park_wodny;14;kombinat
1.07.2025;11:03;11:03;138;park_wodny;0;kombinat
1.07.2025;14:23;14:33;138;park_wodny;10;kombinat
1.07.2025;18:24;18:25;138;park_wodny;1;kombinat
1.07.2025;08:59;09:05;129;park_wodny;6;dworzec
1.07.2025;10:19;10:20;129;park_wodny;1;dworzec
1.07.2025;14:19;14:39;129;park_wodny;20;dworzec
1.07.2025;18:19;18:21;129;park_wodny;2;dworzec
2.07.2025;08:44;08:52;138;park_wodny;8;kombinat
2.07.2025;11:03;11:08;138;park_wodny;5;kombinat
2.07.2025;14:23;14:37;138;park_wodny;14;kombinat
2.07.2025;18:24;18:28;138;park_wodny;4;kombinat
2.07.2025;08:59;09:11;129;park_wodny;12;dworzec
2.07.2025;10:19;10:25;129;park_wodny;6;dworzec
2.07.2025;14:19;14:28;129;park_wodny;9;dworzec
2.07.2025;18:19;18:24;129;park_wodny;5;dworzec
